,Unnamed: 0,path,filename,speaker_id,keyword,num_channels,sample_rate,num_frames,duration_sec,path_normalized
134,134,/mnt/data/GSC/speech_commands_v0.02/backward/189cbabe_nohash_0.wav,189cbabe_nohash_0.wav,189cbabe,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/189cbabe_nohash_0.wav
135,135,/mnt/data/GSC/speech_commands_v0.02/backward/189cbabe_nohash_1.wav,189cbabe_nohash_1.wav,189cbabe,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/189cbabe_nohash_1.wav
136,136,/mnt/data/GSC/speech_commands_v0.02/backward/189cbabe_nohash_2.wav,189cbabe_nohash_2.wav,189cbabe,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/189cbabe_nohash_2.wav
137,137,/mnt/data/GSC/speech_commands_v0.02/backward/189cbabe_nohash_3.wav,189cbabe_nohash_3.wav,189cbabe,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/189cbabe_nohash_3.wav
138,138,/mnt/data/GSC/speech_commands_v0.02/backward/189cbabe_nohash_4.wav,189cbabe_nohash_4.wav,189cbabe,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/189cbabe_nohash_4.wav
150,150,/mnt/data/GSC/speech_commands_v0.02/backward/195c120a_nohash_0.wav,195c120a_nohash_0.wav,195c120a,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/195c120a_nohash_0.wav
151,151,/mnt/data/GSC/speech_commands_v0.02/backward/195c120a_nohash_1.wav,195c120a_nohash_1.wav,195c120a,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/195c120a_nohash_1.wav
152,152,/mnt/data/GSC/speech_commands_v0.02/backward/195c120a_nohash_2.wav,195c120a_nohash_2.wav,195c120a,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/195c120a_nohash_2.wav
168,168,/mnt/data/GSC/speech_commands_v0.02/backward/1b18600d_nohash_0.wav,1b18600d_nohash_0.wav,1b18600d,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/1b18600d_nohash_0.wav
169,169,/mnt/data/GSC/speech_commands_v0.02/backward/1b18600d_nohash_1.wav,1b18600d_nohash_1.wav,1b18600d,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/1b18600d_nohash_1.wav
182,182,/mnt/data/GSC/speech_commands_v0.02/backward/1dc86f91_nohash_0.wav,1dc86f91_nohash_0.wav,1dc86f91,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/1dc86f91_nohash_0.wav
183,183,/mnt/data/GSC/speech_commands_v0.02/backward/1dc86f91_nohash_1.wav,1dc86f91_nohash_1.wav,1dc86f91,backward,1,16000,16000,1.0,/mnt/data/GSC/normalized-dataset/backward/1dc86f91_nohash_1.wav
