Experimento       , Accuracy , Precission ,   Recall , Pérdida media ,       F1 , Epoch time 
Baseline 2D (v2)  ,   0.9029 ,     0.9048 ,   0.8960 ,        0.7708 ,   0.8977 ,     155.78
Time-shift        ,   0.9201 ,     0.9194 ,   0.9150 ,        0.5996 ,   0.9165 ,     158.75
Frequency-masking ,   0.9055 ,     0.9001 ,   0.9033 ,        0.7222 ,   0.8994 ,     154.38
Additive noise    ,   0.9022 ,     0.8962 ,   0.8999 ,        0.7115 ,   0.8957 ,      159.3
Time masking      ,   0.9030 ,     0.8973 ,   0.8991 ,        0.7742 ,   0.8956 ,     154.40
Random gain       ,   0.9127 ,     0.9051 ,   0.9078 ,        0.6792 ,   0.9058 ,     158.01
Eq y compresión   ,   0.9086 ,     0.9132 ,   0.9006 ,        0.7729 ,   0.9044 ,     174.22
Time stretch      ,   0.9057 ,     0.9060 ,   0.9022 ,        0.6441 ,   0.9026 ,     169.44
Speed perturb     ,   0.9165 ,     0.9162 ,   0.9110 ,        0.6303 ,   0.9124 ,     177.92
Mix background    ,   0.9072 ,     0.9018 ,   0.9037 ,        0.7201 ,   0.9009 ,     235.97
Reverb            ,   0.9083 ,     0.9084 ,   0.9030 ,        0.7234 ,   0.9045 ,     176.75
